date,store_id,item_id,temperature,is_holiday,units_sold
2024-10-01,Kolkata,Rice,33.53,0,145
2024-10-01,Kolkata,Wheat,31.52,0,180
2024-10-01,Kolkata,Sugar,22.13,0,155
2024-10-01,Kolkata,Salt,28.7,0,130
2024-10-01,Kolkata,Oil,26.04,0,122
2024-10-01,Kolkata,Milk,34.85,0,151
2024-10-01,Kolkata,Potato,31.94,0,128
2024-10-01,Kolkata,Onion,29.48,0,154
2024-10-01,Kolkata,Dal,27.85,0,62
2024-10-01,Kolkata,Atta,28.06,0,94
2024-10-01,Asansol,Rice,27.85,0,123
2024-10-01,Asansol,Wheat,35.33,0,181
2024-10-01,Asansol,Sugar,25.4,0,166
2024-10-01,Asansol,Salt,34.36,0,63
2024-10-01,Asansol,Oil,21.55,0,157
2024-10-01,Asansol,Milk,29.3,0,57
2024-10-01,Asansol,Potato,30.37,0,174
2024-10-01,Asansol,Onion,29.79,0,162
2024-10-01,Asansol,Dal,36.7,0,101
2024-10-01,Asansol,Atta,27.0,0,50
2024-10-01,Durgapur,Rice,25.71,0,183
2024-10-01,Durgapur,Wheat,28.99,0,65
2024-10-01,Durgapur,Sugar,36.51,0,43
2024-10-01,Durgapur,Salt,26.16,0,188
2024-10-01,Durgapur,Oil,29.5,0,164
2024-10-01,Durgapur,Milk,26.48,0,145
2024-10-01,Durgapur,Potato,32.42,0,178
2024-10-01,Durgapur,Onion,28.35,0,49
2024-10-01,Durgapur,Dal,21.74,0,154
2024-10-01,Durgapur,Atta,24.95,0,207
2024-10-01,Siliguri,Rice,30.81,0,141
2024-10-01,Siliguri,Wheat,30.38,0,160
2024-10-01,Siliguri,Sugar,19.24,0,60
2024-10-01,Siliguri,Salt,20.37,0,123
2024-10-01,Siliguri,Oil,31.44,0,123
2024-10-01,Siliguri,Milk,26.8,0,91
2024-10-01,Siliguri,Potato,23.95,0,136
2024-10-01,Siliguri,Onion,25.88,0,108
2024-10-01,Siliguri,Dal,21.69,0,137
2024-10-01,Siliguri,Atta,31.28,0,129
2024-10-01,Howrah,Rice,29.77,0,91
2024-10-01,Howrah,Wheat,24.04,0,169
2024-10-01,Howrah,Sugar,31.4,0,87
2024-10-01,Howrah,Salt,32.98,0,64
2024-10-01,Howrah,Oil,21.68,0,165
2024-10-01,Howrah,Milk,30.82,0,117
2024-10-01,Howrah,Potato,34.75,0,144
2024-10-01,Howrah,Onion,35.03,0,153
2024-10-01,Howrah,Dal,27.43,0,106
2024-10-01,Howrah,Atta,28.15,0,191
2024-10-02,Kolkata,Rice,15.46,0,136
2024-10-02,Kolkata,Wheat,36.77,0,171
2024-10-02,Kolkata,Sugar,29.13,0,79
2024-10-02,Kolkata,Salt,26.46,0,119
2024-10-02,Kolkata,Oil,24.22,0,92
2024-10-02,Kolkata,Milk,31.37,0,121
2024-10-02,Kolkata,Potato,31.46,0,56
2024-10-02,Kolkata,Onion,22.06,0,121
2024-10-02,Kolkata,Dal,25.55,0,153
2024-10-02,Kolkata,Atta,30.11,0,97
2024-10-02,Asansol,Rice,29.08,0,157
2024-10-02,Asansol,Wheat,22.31,0,127
2024-10-02,Asansol,Sugar,35.44,0,74
2024-10-02,Asansol,Salt,33.06,0,120
2024-10-02,Asansol,Oil,23.47,0,176
2024-10-02,Asansol,Milk,22.12,0,135
2024-10-02,Asansol,Potato,31.75,0,199
2024-10-02,Asansol,Onion,31.26,0,69
2024-10-02,Asansol,Dal,27.75,0,155
2024-10-02,Asansol,Atta,17.93,0,143
2024-10-02,Durgapur,Rice,23.95,0,60
2024-10-02,Durgapur,Wheat,29.0,0,63
2024-10-02,Durgapur,Sugar,26.54,0,102
2024-10-02,Durgapur,Salt,24.41,0,171
2024-10-02,Durgapur,Oil,32.19,0,178
2024-10-02,Durgapur,Milk,27.62,0,163
2024-10-02,Durgapur,Potato,32.33,0,172
2024-10-02,Durgapur,Onion,29.1,0,50
2024-10-02,Durgapur,Dal,28.85,0,122
2024-10-02,Durgapur,Atta,24.78,0,146
2024-10-02,Siliguri,Rice,29.45,0,74
2024-10-02,Siliguri,Wheat,22.94,0,66
2024-10-02,Siliguri,Sugar,36.26,0,124
2024-10-02,Siliguri,Salt,23.78,0,153
2024-10-02,Siliguri,Oil,24.02,0,160
2024-10-02,Siliguri,Milk,26.65,0,64
2024-10-02,Siliguri,Potato,31.91,0,125
2024-10-02,Siliguri,Onion,32.59,0,54
2024-10-02,Siliguri,Dal,31.38,0,202
2024-10-02,Siliguri,Atta,20.98,0,82
2024-10-02,Howrah,Rice,32.8,0,99
2024-10-02,Howrah,Wheat,25.42,0,102
2024-10-02,Howrah,Sugar,25.71,0,107
2024-10-02,Howrah,Salt,31.08,0,56
2024-10-02,Howrah,Oil,24.56,0,99
2024-10-02,Howrah,Milk,31.71,0,167
2024-10-02,Howrah,Potato,33.46,0,51
2024-10-02,Howrah,Onion,30.03,0,211
2024-10-02,Howrah,Dal,25.34,0,107
2024-10-02,Howrah,Atta,27.45,0,106
2024-10-03,Kolkata,Rice,31.75,0,164
2024-10-03,Kolkata,Wheat,23.31,0,72
2024-10-03,Kolkata,Sugar,28.54,0,122
2024-10-03,Kolkata,Salt,24.34,0,185
2024-10-03,Kolkata,Oil,22.99,0,138
2024-10-03,Kolkata,Milk,38.36,0,117
2024-10-03,Kolkata,Potato,32.96,0,91
2024-10-03,Kolkata,Onion,33.44,0,179
2024-10-03,Kolkata,Dal,22.48,0,151
2024-10-03,Kolkata,Atta,31.05,0,85
2024-10-03,Asansol,Rice,25.67,0,66
2024-10-03,Asansol,Wheat,32.38,0,93
2024-10-03,Asansol,Sugar,29.07,0,212
2024-10-03,Asansol,Salt,29.84,0,153
2024-10-03,Asansol,Oil,25.62,0,57
2024-10-03,Asansol,Milk,32.2,0,118
2024-10-03,Asansol,Potato,24.93,0,111
2024-10-03,Asansol,Onion,27.6,0,94
